Matrix Size,Block Size,CPU Time,GPU Time Mean,GPU Time Std,Speedup,Elements
5120x5120x5120,8x8,0.522327875999963,1.146318395999818,0.0014945711513657438,0.45565689063585957,134217728000
5120x5120x5120,16x16,0.522327875999963,0.60628969666656,0.0003441907959974109,0.8615153430311825,134217728000
5120x5120x5120,32x16,0.522327875999963,0.2994980270000269,0.0001878587194151638,1.744011074904063,134217728000
5120x5120x5120,32x32,0.522327875999963,0.5383455343335299,0.00032471118603568343,0.970246510257772,134217728000
8192x4096x8192,8x8,0.9761012120002306,4.094762689333341,0.010889043058903147,0.23837796865320843,274877906944
8192x4096x8192,16x16,0.9761012120002306,2.3048579676666727,0.001103343653900991,0.42349733723001964,274877906944
8192x4096x8192,32x16,0.9761012120002306,1.245747424666509,0.0002482657974512896,0.783546642499812,274877906944
8192x4096x8192,32x32,0.9761012120002306,2.0682158970001487,0.002137508273382467,0.4719532488924489,274877906944
10240x10240x10240,8x8,3.6947861330004343,9.64190345333327,0.01876110982046059,0.38320090539001633,1073741824000
10240x10240x10240,16x16,3.6947861330004343,5.062485367999973,0.0009232078991060312,0.7298364073020771,1073741824000
10240x10240x10240,32x16,3.6947861330004343,2.483647112666555,0.00033751524127711996,1.487645372064772,1073741824000
10240x10240x10240,32x32,3.6947861330004343,4.473570806333252,9.532876428731706e-05,0.825914307150277,1073741824000
16384x8192x8192,8x8,3.78456386400012,15.752477798666556,0.014845139391745683,0.24025197257033953,1099511627776
16384x8192x8192,16x16,3.78456386400012,8.824265881666634,0.0009787417143458878,0.4288814406491265,1099511627776
16384x8192x8192,32x16,3.78456386400012,4.667266272000082,0.0010134683239223293,0.8108737842330787,1099511627776
16384x8192x8192,32x32,3.78456386400012,7.972257492666661,0.0002769838647229528,0.4747167119829456,1099511627776
20480x20480x20480,8x8,34.641415564,77.968675394,0.01401901519480396,0.4442991417892652,8589934592000
20480x20480x20480,16x16,34.641415564,40.532179024666675,0.017550019657719827,0.8546645257566405,8589934592000
20480x20480x20480,32x16,34.641415564,19.92148095533336,0.0025509441084455016,1.7388976071443036,8589934592000
20480x20480x20480,32x32,34.641415564,35.79236387733332,0.00045569248574568207,0.9678437468595865,8589934592000
